OBSTACLE_IDENTIFIER;HORISONTAL_ACCURACY;HORISONTAL_ACCURACY_UOM;LATITUDE;LONGITUDE;LATITUDE_DD;LONGITUDE_DD;HORISONTAL_RESOLUTION;HORISONTAL_RESOLUTION_UOM;HORISONTAL_EXTENT;ELEVATION;ELEVATION_UOM;HEIGHT;HEIGHT_UOM;VERTICAL_ACCURACY;VERTICAL_ACCURACY_UOM;VERTICAL_EXTENT_ACC;VERTICAL_EXTENT_ACC_UOM;VERTICAL_RESOLUTION;VERTICAL_RESOLUTION_UOM;OBSTACLE_TYPE;GEOMETRY_TYPE;INTEGRITY;DATESTAMP;LIGHTING;LIGHTING_CHARACTER;MARKING;STATUS;REMARKS;AD_AIRPORT_PK 
ESSV1169;;OTHER;573910.7N;0182057.4E;57.65296;18.34928;;;;204;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1207;;OTHER;573834.3N;0182123.3E;57.64285;18.35647;;;;239;FT;65;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1205;;OTHER;573842.6N;0182116.5E;57.64518;18.35458;;;;234;FT;64;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV142;;OTHER;573405.3N;0181701.0E;57.56814;18.28361;;;;552;FT;291;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1928;;OTHER;573934.3N;0181948.3E;57.65954;18.33007;;;;201;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1221;;OTHER;573847.2N;0182059.5E;57.64646;18.34987;;;;226;FT;56;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1;;OTHER;573940.2N;0182020.7E;57.66117;18.33909;;;;218;FT;80;FT;;OTHER;;OTHER;;;CONTROL_TOWER;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV477;;OTHER;574007.2N;0181959.1E;57.66866;18.33307;;;;240;FT;141;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1228;;OTHER;573846.7N;0182057.3E;57.64631;18.34926;;;;227;FT;56;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV950;;OTHER;573827.2N;0181900.5E;57.64089;18.31681;;;;212;FT;65;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1016;;OTHER;573756.5N;0182001.4E;57.63237;18.33373;;;;240;FT;66;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV340;;OTHER;573940.9N;0182022.1E;57.66135;18.33948;;;;205;FT;69;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2022;;OTHER;573854.1N;0181856.2E;57.64836;18.31561;;;;201;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1059;;OTHER;573837.9N;0182031.4E;57.64387;18.34206;;;;219;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1075;;OTHER;573840.8N;0182044.4E;57.64465;18.34566;;;;217;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1242;;OTHER;573852.3N;0182045.4E;57.64785;18.34594;;;;226;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1080;;OTHER;573851.3N;0182044.7E;57.64758;18.34574;;;;227;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV203;;OTHER;573856.2N;0181831.0E;57.64893;18.3086;;;;208;FT;65;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
VÄSTERHEJDE-3987;10;M;573405.3N;0181701.0E;57.56813;18.28361;0.3;Seconds;;593;FT;312;FT;5;M;5;M;1;M;ANTENNA;POINT;ROUTINE;20010917;Y;FR;;COMPLETED;;179
VISBY-24825;10;M;573849.3N;0182049.8E;57.64702;18.34716;0.3;Seconds;;249;FT;79;FT;5;M;5;M;1;M;ANTENNA;POINT;ROUTINE;20250121;N;;;COMPLETED;;179
ESSV1232;;OTHER;573851.7N;0182048.2E;57.6477;18.34673;;;;223;FT;57;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV886;;OTHER;573855.4N;0181835.6E;57.64872;18.3099;;;;205;FT;62;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1827;;OTHER;573913.6N;0182059.0E;57.65377;18.34973;;;;202;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2192;;OTHER;574015.3N;0182026.2E;57.67091;18.34061;;;;185;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2223;;OTHER;574004.4N;0182021.2E;57.66789;18.33923;;;;184;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2182;;OTHER;574018.6N;0182027.0E;57.67183;18.34084;;;;184;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2147;;OTHER;574035.2N;0182028.1E;57.67644;18.34113;;;;190;FT;62;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2149;;OTHER;574034.9N;0182027.0E;57.67636;18.34083;;;;187;FT;59;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1890;;OTHER;574004.8N;0182026.6E;57.66801;18.34072;;;;188;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1892;;OTHER;574005.3N;0182025.1E;57.66814;18.34031;;;;188;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1893;;OTHER;574005.0N;0182024.7E;57.66805;18.34019;;;;186;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1700;;OTHER;573957.6N;0182006.9E;57.66599;18.33526;;;;188;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1702;;OTHER;573957.0N;0182016.3E;57.66582;18.33786;;;;187;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1344;;OTHER;573900.6N;0182111.3E;57.65018;18.35313;;;;198;FT;30;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1350;;OTHER;573859.0N;0182112.0E;57.64971;18.35334;;;;202;FT;33;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV461;;OTHER;574006.9N;0182000.2E;57.6686;18.33338;;;;226;FT;127;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1731;;OTHER;573943.9N;0182001.0E;57.66221;18.33362;;;;193;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1737;;OTHER;573941.6N;0182005.4E;57.66157;18.33484;;;;192;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1775;;OTHER;574043.8N;0182203.7E;57.67884;18.36769;;;;216;FT;83;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1777;;OTHER;574044.4N;0182217.3E;57.67901;18.37147;;;;218;FT;85;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1132;;OTHER;574005.7N;0182215.9E;57.66825;18.37108;;;;201;FT;70;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1603;;OTHER;573941.4N;0182213.3E;57.66149;18.37036;;;;217;FT;73;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1612;;OTHER;573935.3N;0182200.0E;57.65982;18.36666;;;;218;FT;70;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1130;;OTHER;573956.0N;0182228.4E;57.66555;18.37456;;;;204;FT;74;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1625;;OTHER;573938.2N;0182145.7E;57.66062;18.3627;;;;197;FT;57;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1124;;OTHER;573930.3N;0182127.5E;57.65841;18.35764;;;;195;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV614;;OTHER;574021.9N;0182041.4E;57.67276;18.34482;;;;184;FT;49;FT;;OTHER;;OTHER;;;CONTROL_TOWER;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1572;;OTHER;574019.5N;0182136.8E;57.67208;18.36023;;;;185;FT;56;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1637;;OTHER;573930.8N;0182122.7E;57.65855;18.35629;;;;198;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1632;;OTHER;573924.8N;0182146.7E;57.65688;18.36298;;;;219;FT;61;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1774;;OTHER;574043.4N;0182156.8E;57.67874;18.36578;;;;209;FT;75;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1779;;OTHER;574019.0N;0182138.2E;57.67194;18.3606;;;;191;FT;62;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1710;;OTHER;573951.5N;0182005.0E;57.66429;18.33472;;;;191;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2106;;OTHER;574042.5N;0182045.7E;57.67848;18.34602;;;;192;FT;65;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2132;;OTHER;574030.8N;0182042.0E;57.67522;18.345;;;;181;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
STORA VIKERS-44133;10;M;574937.3N;0184924.3E;57.82704;18.82341;0.3;Seconds;;610;FT;492;FT;5;M;5;M;1;M;WINDMILL;POINT;ROUTINE;20130828;Y;FLGR;;COMPLETED;;179
ESSV1963;;OTHER;573915.5N;0181908.9E;57.6543;18.31914;;;;182;FT;48;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2047;;OTHER;573914.7N;0181913.6E;57.65407;18.32045;;;;182;FT;42;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1962;;OTHER;573915.9N;0181906.9E;57.6544;18.31857;;;;184;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2019;;OTHER;573859.4N;0181923.8E;57.64984;18.32327;;;;168;FT;19;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV865;;OTHER;573901.6N;0181858.6E;57.65043;18.31627;;;;179;FT;35;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV812;;OTHER;573836.2N;0182007.8E;57.64338;18.33549;;;;193;FT;28;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV824;;OTHER;573839.9N;0182000.3E;57.6444;18.33343;;;;198;FT;42;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV623;;OTHER;573727.3N;0181910.7E;57.62426;18.31965;;;;309;FT;130;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
VISBY-34090;10;M;573846.8N;0181922.6E;57.64633;18.32294;0.3;Seconds;;286;FT;118;FT;5;M;5;M;1;M;ANTENNA;POINT;ROUTINE;20250121;N;;;COMPLETED;;179
ESSV1647;;OTHER;573838.9N;0182218.5E;57.64413;18.37182;;;;286;FT;108;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV695;;OTHER;573752.1N;0182108.9E;57.63113;18.35248;;;;287;FT;80;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2045;;OTHER;573910.8N;0181909.5E;57.65301;18.3193;;;;188;FT;44;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2072;;OTHER;573904.4N;0181935.4E;57.65123;18.32651;;;;157;FT;17;FT;;OTHER;;OTHER;;;VEGETATION;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1973;;OTHER;573910.2N;0181902.6E;57.65283;18.31738;;;;176;FT;38;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV459;;OTHER;573902.4N;0181903.3E;57.65065;18.31758;;;;175;FT;31;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2043;;OTHER;573909.6N;0181908.3E;57.65267;18.31896;;;;191;FT;46;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2042;;OTHER;573909.3N;0181909.0E;57.65259;18.31915;;;;185;FT;41;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV207;;OTHER;573908.6N;0181909.3E;57.6524;18.31926;;;;169;FT;28;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1982;;OTHER;573906.5N;0181908.2E;57.65181;18.31895;;;;178;FT;41;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1989;;OTHER;573903.5N;0181911.5E;57.65096;18.31987;;;;176;FT;37;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV187;;OTHER;573857.6N;0182114.7E;57.64934;18.35409;;;;190;FT;21;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1353;;OTHER;573858.1N;0182110.9E;57.64947;18.35302;;;;198;FT;28;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1415;;OTHER;573857.3N;0182103.1E;57.64924;18.35086;;;;180;FT;11;FT;;OTHER;;OTHER;;;VEGETATION;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV188;;OTHER;573857.1N;0182114.9E;57.64919;18.35413;;;;190;FT;22;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1357;;OTHER;573857.5N;0182111.4E;57.6493;18.35317;;;;190;FT;19;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1363;;OTHER;573855.3N;0182108.0E;57.64869;18.35221;;;;193;FT;23;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1379;;OTHER;573850.0N;0182111.9E;57.64722;18.3533;;;;213;FT;37;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1388;;OTHER;573848.9N;0182137.3E;57.64692;18.36036;;;;234;FT;67;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV713;;OTHER;573854.6N;0182116.8E;57.64849;18.35466;;;;198;FT;29;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1649;;OTHER;573851.9N;0182200.1E;57.64774;18.3667;;;;238;FT;72;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1011;;OTHER;573843.6N;0182017.6E;57.64544;18.33823;;;;208;FT;49;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV221;;OTHER;574007.4N;0182109.3E;57.66871;18.35259;;;;148;FT;14;FT;;OTHER;;OTHER;;;NAVAID;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV523;;OTHER;574005.0N;0182108.1E;57.66807;18.35226;;;;167;FT;32;FT;;OTHER;;OTHER;;;NAVAID;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1231;;OTHER;573852.3N;0182049.0E;57.64786;18.34695;;;;217;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV938;;OTHER;573843.3N;0181942.7E;57.64536;18.32852;;;;187;FT;38;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV625;;OTHER;573813.5N;0182002.4E;57.63707;18.33399;;;;237;FT;68;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1828;;OTHER;573913.2N;0182058.1E;57.65367;18.34948;;;;205;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1162;;OTHER;573912.4N;0182056.1E;57.65344;18.34891;;;;203;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1204;;OTHER;573842.3N;0182117.5E;57.64509;18.35487;;;;231;FT;61;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1660;;OTHER;573936.8N;0182006.8E;57.66022;18.33521;;;;197;FT;57;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV840;;OTHER;573810.1N;0182013.6E;57.63614;18.33711;;;;242;FT;67;FT;;OTHER;;OTHER;;;OTHER;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1240;;OTHER;573851.5N;0182047.2E;57.64763;18.34645;;;;230;FT;65;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV829;;OTHER;573912.1N;0182135.7E;57.65337;18.3599;;;;239;FT;70;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1807;;OTHER;573902.6N;0182225.6E;57.65071;18.37377;;;;247;FT;78;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1028;;OTHER;573827.1N;0182016.3E;57.64085;18.33787;;;;241;FT;72;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV839;;OTHER;573809.9N;0182013.9E;57.63609;18.3372;;;;239;FT;63;FT;;OTHER;;OTHER;;;OTHER;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV825;;OTHER;573811.2N;0182012.2E;57.63644;18.33673;;;;223;FT;54;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1074;;OTHER;573837.3N;0182044.8E;57.64369;18.34578;;;;220;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1958;;OTHER;573916.9N;0181904.7E;57.65468;18.31798;;;;183;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2024;;OTHER;573854.7N;0181853.0E;57.64852;18.31472;;;;208;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
VISBY-123930;10;M;573831.8N;0181919.5E;57.64217;18.32208;0.3;Seconds;;272;FT;118;FT;5;M;5;M;1;M;ANTENNA;POINT;ROUTINE;;Y;FR;;COMPLETED;;179
ESSV1077;;OTHER;573841.5N;0182046.2E;57.64486;18.34617;;;;217;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1241;;OTHER;573851.6N;0182046.7E;57.64768;18.34629;;;;228;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV173;;OTHER;574006.7N;0182000.0E;57.66854;18.33333;;;;235;FT;136;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV172;;OTHER;574006.6N;0181959.5E;57.66849;18.3332;;;;236;FT;137;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1689;;OTHER;574003.2N;0182020.9E;57.66756;18.33913;;;;187;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2189;;OTHER;574015.9N;0182027.3E;57.67109;18.34091;;;;182;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2234;;OTHER;574036.1N;0182027.4E;57.6767;18.34094;;;;189;FT;61;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2151;;OTHER;574033.2N;0182027.4E;57.67588;18.34095;;;;189;FT;60;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1902;;OTHER;574007.5N;0182016.0E;57.66875;18.33777;;;;190;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2219;;OTHER;574005.6N;0182026.5E;57.66822;18.34069;;;;189;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1913;;OTHER;573944.4N;0182009.5E;57.66233;18.33597;;;;188;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1234;;OTHER;573851.8N;0182050.2E;57.64773;18.34728;;;;212;FT;48;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1225;;OTHER;573851.1N;0182059.1E;57.64753;18.34974;;;;201;FT;29;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV192;;OTHER;573851.0N;0182056.5E;57.6475;18.34903;;;;198;FT;27;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1564;;OTHER;574044.2N;0182201.2E;57.67894;18.367;;;;213;FT;79;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1780;;OTHER;574022.2N;0182148.2E;57.67283;18.3634;;;;201;FT;72;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1122;;OTHER;573935.9N;0182143.8E;57.65997;18.36216;;;;202;FT;59;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1834;;OTHER;573956.3N;0182227.8E;57.66565;18.37439;;;;208;FT;77;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1630;;OTHER;573933.0N;0182145.8E;57.65916;18.36271;;;;209;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1106;;OTHER;574006.0N;0182134.2E;57.66834;18.3595;;;;190;FT;59;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1574;;OTHER;574017.8N;0182136.9E;57.6716;18.36025;;;;192;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1853;;OTHER;573930.1N;0182120.2E;57.65836;18.3556;;;;200;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1638;;OTHER;573930.4N;0182121.0E;57.65845;18.35583;;;;200;FT;56;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1851;;OTHER;573927.0N;0182148.8E;57.65751;18.36355;;;;213;FT;57;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1846;;OTHER;573929.6N;0182158.4E;57.65821;18.36621;;;;212;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1397;;OTHER;573858.9N;0182121.4E;57.6497;18.35593;;;;217;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1114;;OTHER;574044.7N;0182159.5E;57.67908;18.36653;;;;213;FT;79;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1593;;OTHER;573955.0N;0182131.4E;57.66529;18.35873;;;;187;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1803;;OTHER;573909.8N;0182225.4E;57.65272;18.37371;;;;231;FT;65;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1809;;OTHER;573908.2N;0182159.9E;57.65227;18.36664;;;;220;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1808;;OTHER;573909.2N;0182201.3E;57.65256;18.36703;;;;221;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1115;;OTHER;574002.6N;0182119.4E;57.6674;18.35538;;;;181;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1707;;OTHER;573951.7N;0181958.6E;57.66436;18.33294;;;;193;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
FOLE STORA SOJDEBY-119298;10;M;573847.1N;0183555.4E;57.6464;18.59871;0.3;Seconds;;620;FT;492;FT;5;M;5;M;1;M;WINDMILL;POINT;ROUTINE;20260331;Y;FLGR;;COMPLETED;;179
ESSV629;;OTHER;573914.8N;0181914.7E;57.65412;18.32075;;;;174;FT;31;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2028;;OTHER;573901.1N;0181915.0E;57.6503;18.32082;;;;174;FT;30;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV841;;OTHER;573822.3N;0182005.5E;57.63953;18.33487;;;;239;FT;70;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV611;;OTHER;573824.6N;0182002.8E;57.64016;18.33411;;;;210;FT;43;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV811;;OTHER;573821.9N;0182004.0E;57.63942;18.33444;;;;211;FT;42;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
